23000007000102700;;;;;;
23000007000137900;;;;;;
23000007000139300;ул;Медовея;354340;03426000000;2367;
23000007000139400;;;;;;
23000007000140500;ул;Енисейская;354206;03426000000;2366;
23000007000141500;ул;Калараша;354200;03426000000;2366;
23000007000141600;пер;Алекский;354055;03426000000;2366;
23000007000141700;пер;Амбулаторный;354003;03426000000;2366;
23000007000141800;пер;Бараташвили;354055;03426000000;2366;
23000007000141900;пер;Вертолетный;354003;03426000000;2366;
23000007000142000;пер;Виноградный;354000;03426000000;2366;
23000007000142100;пер;Вишневый;354003;03426000000;2366;
23000007000142200;пер;Волжский;354008;03426000000;2366;
23000007000142300;пер;Высокогорный;354008;03426000000;2366;
23000007000142400;пер;Горный;354000;03426000000;2366;
23000007000142500;ул;Виноградная;354000;;2366;
23000007000142600;ул;Поселковая;354068;03426000000;2366;
23000007000142700;ул;Полтавская;354053;;2366;
23000007000142800;ул;Одоевского;354200;03426000000;2366;
23000007000142900;ул;Ландышевая;354008;03426000000;2366;
23000007000143000;ул;Казанская;354220;03426000000;2366;
23000007000143100;ул;Тимирязева;354068;;2366;
23000007000143200;ул;Разина;354208;03426000000;2366;
23000007000143300;ул;Конституции СССР;354000;03426000000;2366;
23000007000143400;ул;Докучаева;354057;03426000000;2366;
23000007000143600;ул;Ольховая;354212;03426000000;2366;
23000007000144200;пер;Безымянный;354000;03426000000;2366;
23000007000144300;пер;Городской;354008;03426000000;2366;
23000007000144400;пер;Горького;354000;03426000000;2366;
23000007000144500;пер;Грузинский;354057;03426000000;2366;
23000007000144600;пер;Гуковский;354065;03426000000;2366;
23000007000144700;пер;Дагомысский;354057;03426000000;2366;
23000007000144800;пер;Докучаева;354000;03426000000;2366;
23000007000144900;пер;Донской;354068;;2366;
23000007000145000;пер;Заводской;354000;03426000000;2366;
23000007000145100;пер;Зеленый;354000;03426000000;2366;
23000007000145200;пер;Инжирный;354008;03426000000;2366;
23000007000145300;пер;Ландышевый;354053;03426000000;2366;
23000007000145400;пер;Лесной;354000;03426000000;2366;
23000007000145500;пер;Морской;354000;;2366;
23000007000145600;пер;Мясокомбинатский;354065;03426000000;2366;
23000007000145700;пер;Пасечный;354068;03426000000;2366;
23000007000145800;пер;Подгорный;354068;03426000000;2366;
23000007000145900;пер;Промышленный;354000;03426000000;2366;
23000007000146000;пер;Рабочий;354065;;2366;
23000007000146100;пер;Рахманинова;354008;;2366;
23000007000146600;снт;Ландыш;354053;03426000000;2366;
23000007000147100;снт;Прохладная долина;354068;03426000000;2366;
23000007000147200;пер;Ривьерский;354065;03426000000;2366;
23000007000147300;пер;Ряжский;354000;;2366;
23000007000147400;пер;Севастопольский;354057;03426000000;2366;
23000007000147500;пер;Строительный;354068;03426000000;2366;
23000007000147600;пер;Теневой;354053;03426000000;2366;
23000007000147700;пер;Трунова;354057;03426000000;2366;
23000007000147800;пер;Хлебозаводской;354065;;2366;
23000007000148000;пер;Чехова;354068;;2366;
23000007000148100;пер;Юртовский;354003;03426000000;2366;
23000007000148400;ул;60 лет ВЛКСМ;354003;;2366;
23000007000148500;ул;Абрикосовая;354003;;2366;
23000007000148600;ул;Альпийская;354057;03426000000;2366;
23000007000148700;ул;Анапская;354008;;2366;
23000007000148800;ул;Бамбуковая;354008;;2366;
23000007000148900;ул;Ботаническая;354003;03426000000;2366;
23000007000149000;ул;Верещагинская;354000;03426000000;2366;
23000007000149100;ул;Верхний тупик;354057;03426000000;2366;
23000007000149200;ул;Вишневая;354003;;2366;
23000007000149300;ул;Войкова;354000;03426000000;2366;
23000007000149400;ул;Волгоградская;354057;;2366;
23000007000149500;ул;Волжская;354053;;2366;
23000007000149600;ул;Воровского;354000;03426000000;2366;
23000007000149700;ул;Восточная;354068;03426000000;2366;
23000007000149800;ул;Высокогорная;354068;03426000000;2366;
23000007000149900;ул;Гагарина;354065;03426000000;2366;
23000007000150000;ул;Голенева;354000;;2366;
23000007000150100;ул;Гончарова;354068;03426000000;2366;
23000007000150200;ул;Горького;354000;03426000000;2366;
23000007000150300;ул;Госпитальная;354000;03426000000;2366;
23000007000150400;ул;73 км;354207;03426000000;2366;
23000007000150500;ул;Бытха;354054;;2367;
23000007000151000;тер. СНТ;Бриз массив 3;354003;03426000000;2366;
23000007000151300;снт;Крутые горки;354000;03426000000;2366;
23000007000151600;снт;Тюльпан;354068;03426000000;2366;
23000007000152300;ул;Гранатная;354068;03426000000;2366;
23000007000152400;ул;Дагомысская;354000;03426000000;2366;
23000007000152500;ул;Донская;354068;;2366;
23000007000152600;ул;Егорова;354065;03426000000;2366;
23000007000152700;ул;Загородная;354053;;2366;
23000007000152800;ул;Инжирная;354008;03426000000;2366;
23000007000152900;ул;Кавказская;354008;03426000000;2366;
23000007000153000;ул;Калужская;354068;03426000000;2366;
